Category,State/UT,Area [Sq. Km.] - Tribal,Area [Sq. Km.] - Rural,Area [Sq. Km.] - Urban,Area [Sq. Km.] - Total,Area [Sq. Km.] - Rural %,Number of Districts,Number of Villages
State,Andhra Pradesh,NA,156086,4119,160205,97.43,13,17039
State,Arunachal Pradesh,NA,NA,NA,83743,NA,17,5589
State,Assam,NA,77178.12,1259.88,78438,98.39,27,26395
State,Bihar,NA,91838.28,2324.72,94163,97.53,38,44874
State,Chhattisgarh,82315.23,131810.3,3381.7,135192,97.5,27,20126
State,Goa,NA,2903.14,798.86,3702,78.42,2,334
State,Gujarat,35284.32,188840.46,7403.54,196244,96.23,33,18225
State,Haryana,NA,42235.92,1976.08,44212,95.53,21,6841
State,Himachal Pradesh,23695,55402.18,270.82,55673,99.51,12,20690
State,Jammu & Kashmir,NA,220990.1,1245.9,222236,99.44,22,6551
State,Jharkhand,NA,77467.12,2248.88,79714,97.18,24,32394
State,Karnataka,20662,185783.46,6007.54,191791,96.87,30,29340
State,Kerala,NA,31253.2,7598.8,38852,80.44,14,1018
State,Madhya Pradesh,93000,300505.59,7746.41,308252,97.49,51,54903
State,Maharashtra,50757,298628.75,9084.25,307713,97.05,33,43663
State,Manipur,NA,22147.5,179.5,22327,99.2,9,2588
State,Meghalaya,NA,22146.11,282.89,22429,98.74,11,6839
State,Mizoram,21081,20494,587,21081,97.22,9,830
State,Nagaland,NA,16335.52,243.48,16579,98.53,11,1428
State,Odisha,NA,152355.34,3351.66,155707,97.85,30,51313
State,Punjab,NA,47847.4,2514.6,50362,95.01,22,12581
State,Rajasthan,19770.15,335606.04,6632.96,342239,98.06,33,44672
State,Sikkim,4520,7057.75,38.25,7096,99.46,4,452
State,Tamil Nadu,NA,116427.97,13632.03,130060,89.52,32,15979
State,Telangana,16156,111105,3735,114840,96.75,10,10761
State,Tripura,7132.56,10094.12,391.88,10486,96.26,8,875
State,Uttarakhand,NA,52581.08,901.92,53483,98.31,13,16793
State,Uttar Pradesh,NA,233365.71,7562.29,240928,96.86,75,106704
State,West Bengal,32911.31,83632.59,5119.41,88752,94.23,19,40203
Union Territory,A& N Islands,NA,8211.08,37.92,8249,99.54,3,555
Union Territory,Chandigarh,0,4.47,109.53,114,3.92,1,5
Union Territory,D & N Haveli,NA,445.3,45.7,491,90.69,1,65
Union Territory,Daman & Diu,NA,56.38,54.62,111,50.79,2,19
Union Territory,Delhi,NA,326.44,1156.56,1483,22.01,11,112
Union Territory,Lakshadweep,0,8.05,21.95,30,26.83,1,21
Union Territory,Puducherry,NA,335.44,154.56,490,68.46,4,90
All India,All India,407284.57,3101505.41,102220.59,3287469,94.34,673,640867
